stak salt,,,,,mozzarela cheese,,,,,onion chop,,,,,stak salt,,,,,spicy fries,,,,,,,,,,,,,,,,,,,
mozzaralla cheese,,,,,nacho cheese,,,,,green pepper chop,,,,,mozzaralla cheese,,,,,joke,,,,,,,,,,,,,,,,,,,
nacho cheese,,,,,sub bun,,,,,nacho cheese,,,,,nacho cheese,,,,,2 slice swiss cheese,,,,,,,,,,,,,,,,,,,
sub bun,,,,,mayo,,,,,mozz cheese,,,,,sub bun,,,,,butter,,,,,,,,,,,,,,,,,,,
mayo,,,,,ketchup,,,,,ketchup,,,,,mayo,,,,,Foil,,,,,,,,,,,,,,,,,,,
ketchup,,,,,butter ,,,,,mayo,,,,,ketchup,,,,,,,,,,,,,,,,,,,,,,,,
butter ,,,,,foil,,,,,Butter,,,,,butter ,,,,,,,,,,,,,,,,,,,,,,,,
foil,,,,,,,,,,Foil,,,,,Foil,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,,,,,,,,,,,,,,,
Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,,,,,,,,,,,,,,,
Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,,,,,,,,,,,,,,,
Burger Box 9*9,,,,,Burger Box 9*9,,,,,Burger Box 9*9,,,,,Burger Box 9*9,,,,,Burger Box 9*9,,,,,,,,,,,,,,,,,,,
Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Platter,,,,,Lamb Platter,,,,,Kofta Platter,,,,,Charcoal Blackend Platter,,,,,Beefy Platter,,,,,Mix Platter,,,,,Fish Platter,,,,,Falafeel Platter,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price
platter,,,12.99,14.29,platter,,,13.69,15.06,platter,,,14.49,15.94,platter,,,14.24,15.66,platter,,,13.79,15.17,rice,,,15.49,17.04,platter,,,11.99,13.19,platter,,,11.99,13.19
lettuce,,,14.49,15.94,lettuce,,,15.19,16.71,rice,,,15.99,17.59,rice,,,15.74,17.31,rice,,,15.29,16.82,lettuce,,,16.99,18.69,rice,,,13.49,14.84,rice,,,13.49,14.84
mix salad,,,,,mix salad,,,,,lettuce,,,,,lettuce,,,,,lettuce,,,,,mix salad,,,,,lettuce,,,,,lettuce,,,,
rice,,,,,rice,,,,,mix salad,,,,,mix salad,,,,,mix salad,,,,,2 Portions,,,,,mix salad,,,,,mix salad,,,,
red chicken,,,,,lamb,,,,,1 n half pc kofta,,,,,Sauces,,,,,4 pcs meat ball,,,,,Sauces,,,,,2 pcs fried fish,,,,,4 pcs fried falafel,,,,
fries,,,,,Sauces,,,,,chop green papper,,,,,Spices,,,,,Sauces,,,,,Spices,,,,,Sauces,,,,,Sauces,,,,
Sauces,,,,,Spices,,,,,chop oinon,,,,,Salt,,,,,Spices,,,,,Salt,,,,,Spices,,,,,Spices,,,,
Spices,,,,,Salt,,,,,Sauces,,,,,Fries,,,,,Salt,,,,,Fries,,,,,Salt,,,,,Salt,,,,
Salt,,,,,Fries,,,,,Spices,,,,,Fries Seasoning,,,,,Fries,,,,,Fries Seasoning,,,,,Fries,,,,,Fries,,,,
Fries Seasoning,,,,,Fries Seasoning,,,,,Salt,,,,,,,,,,Fries Seasoning,,,,,,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,
,,,,,,,,,,Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fries Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,
Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Gyro,,,,,Lamb Gyro,,,,,Kofta gyro,,,,,Charcoal Blackend Gyro,,,,,Beef Gyro,,,,,Mix Gyro,,,,Fish Gyro,,,,,Falafeel Gyro,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price
Full pita,,,11.74,12.91,Full pita,,,12.44,13.68,Full pita,,,12.24,13.46,Full pita,,,12.24,13.46,Full pita,,,12.74,14.01,Full pita,,,,,Full pita,,,9.74,10.71,Full pita,,,9.74,10.71
1 scop chicken,,,14.99,16.49,1 scop lam,,,15.69,17.26,1 pc kofta,,,15.49,17.04,1 pc charcoal meat,,,15.49,17.04,2pcs beef meat ball,,,15.99,17.59,half scop chicken,,,,,1 pc fried fish,,,12.99,14.29,2 pcs fried falafel,,,12.99,14.29
lettuce,,,,,lettuce,,,,,green pepper chop,,,,,lettuce,,,,,lettuce,,,,,half scoop lam,,,,,lettuce,,,,,lettuce,,,,
mix salad,,,,,mix salad,,,,,onion chop,,,,,mix salad,,,,,mix salad,,,,,lettuce,,,,,mix salad,,,,,mix salad,,,,
sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter ,,,,,sauces,,,,,lettuce,,,,,sauces,,,,,sauces,,,,,mix salad,,,,,sauces,,,,,sauces,,,,
Foil,,,,,Butter,,,,,mix salad,,,,,Butter,,,,,Butter,,,,,sauces,,,,,Butter,,,,,Butter,,,,
Spices,,,,,Foil,,,,,Butter,,,,,Foil,,,,,Foil,,,,,Butter,,,,,Foil,,,,,Foil,,,,
Salt,,,,,Spices,,,,,Foil,,,,,Spices,,,,,Spices,,,,,Foil,,,,,Spices,,,,,Spices,,,,
,,,,,Salt,,,,,Spices,,,,,Salt,,,,,Salt,,,,,Spices,,,,,Salt,,,,,Salt,,,,
,,,,,,,,,,Salt,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,
Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,
Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,
Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Pc Mix Chicken,,,,,5 Pc Mix Chicken,,,,,10 Pc Mix Chicken,,,,15 Pc Mix Chicken,,,,,,,,,,,,,,,,,,,,,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,,,,,,,,,,,,,,,,,,,,
2 pcs marinade,,,7.49,8.24,5 pcs marinade,,,11.99,13.19,10 pcs marinade,,,20.99,23.09,15 pcs marinade,,,26.99,30.24,,,,,,,,,,,,,,,,,,,,
ground garlic powder ,,,10.74,11.81,ground garlic powder ,,,15.24,16.76,ground garlic powder ,,,27.49,30.24,ground garlic powder ,,,33.99,29.69,,,,,,,,,,,,,,,,,,,,
reg garlic powder,,,,,reg garlic powder,,,,,reg garlic powder,,,,,reg garlic powder,,,,,,,,,,,,,,,,,,,,,,,,
 spicy or reguler flour,,,,, spicy or reguler flour,,,,, spicy or reguler flour,,,,, spicy or reguler flour,,,,,,,,,,,,,,,,,,,,,,,,
fried,,,,,fried,,,,,fried,,,,,fried,,,,,,,,,,,,,,,,,,,,,,,,
butter paper and box,,,,,butter paper and box,,,,,butter paper and box,,,,,butter paper and box,,,,,,,,,,,,,,,,,,,,,,,,
hot sauce,,,,,hot sauce,,,,,hot sauce,,,,,hot sauce,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,,,Salt,,,,,Salt,,,,,Salt,,,,,,,,,,,,,,,,,,,,,,,,
Box,,,,,Box,,,,,Box,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,With Combo,,,,,With Combo,,,,,With Combo,,,,,,,,,,,,,,,,,,,,,,,,
Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,,,,,,,,,,,,,,,,,,,,
Soda,,,,,Soda,,,,,Soda,,,,,Soda,,,,,,,,,,,,,,,,,,,,,,,,
Fries,,,,,Fries,,,,,Fries,,,,,Fries,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Pc Fish,,,,,4 Pc Fish,,,,,6 Pc Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Ingedients Name,Only ,Combo,Store Price,Online Price,,,,,,,,,,,,,,,,,,,,,,,,
2 pcs marinade ( powder for marination)  fried fish,,,6.24,8.24,4 pcs marinade ( powder for marination)  fried fish,,,9.24,10.16,6 pcs marinade ( powder for marination)  fried fish,,,,11.74,12.91,,,,,,,,,,,,,,,,,,,,,,,,
Butter,,,9.49,11.81,Butter,,,12.49,13.74,Butter,,,,14.99,16.49,,,,,,,,,,,,,,,,,,,,,,,,
Wax Paper,,,,,Wax Paper,,,,,Wax Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
box,,,,,box,,,,,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartar sauce,,,,,tartar sauce,,,,,tartar sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,With Combo,,,,,With Combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fries Seasoning,,,,,Fries Seasoning,,,,,Fries Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Soda,,,,,Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fries,,,,,Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 pc nuggets,,,,,10 pc nuggets,,,,,15 pc nuggets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,,,,,,,,,,,,,,,,,,,,,,,,,
6 pcs fried nuggets,,,8.24,9.06,10 pcs fried nuggets,,,10.24,11.26,15 pcs fried nuggets,,,12.74,14.01,,,,,,,,,,,,,,,,,,,,,,,,,
box,,,11.49,12.64,box,,,13.49,14.84,box,,,15.99,17.59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fries Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6PCS FEASTO WILD Wings (Bones),,,,,12PCS FEASTO WILD Wings (Bones),,,,,24PCS FEASTO WILD Wings (Bones),,,,,10PCS FEASTO WILD Wings (Boneless),,,,,15PCS FEASTO WILD Wings (Boneless),,,,,25PCS FEASTO WILD Wings (Boneless),,,,,,,,,,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,,,,,,,,,,
,,,10.99,12.09,,,,16.49,18.14,,,,30.49,33.54,,,,13.09,14.4,,,,19.39,21.33,,,,31.49,34.64,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loaded Feasto Fries - chicken,,,,,Loaded Feasto Fries - Beef,,,,,Loaded Feasto Fries - Jerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,Ingedients Name,Only ,Combo,Store Price,Online Price,,,,,,,,,,,,,,,,,,,,,,,,,
1 scoop red chicken,,,6.49,7.14,1 beef ball,,,6.59,7.69,1 scoop of jerk chicken,,,6.99,8.24,,,,,,,,,,,,,,,,,,,,,,,,,
choped onion,,,,,choped onion,,,,,choped onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nacho cheese,,,,,nacho cheese,,,,,nacho cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedder chesse,,,,,chedder chesse,,,,,chedder chesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fries,,,,,fries,,,,,fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blink sauce,,,,,blink sauce,,,,,blink sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 inch box,,,,,7 inch box,,,,,7 inch box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
